"C:\Program Files\Java\jdk-11.0.12\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.3\lib\idea_rt.jar=58672:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.3\bin" -Dfile.encoding=UTF-8 -classpath "C:\Users\fabri\Documents\USP\Git projetos\Multilayer-Perpectron\out\production\MultilayerPerceptron" Main
Acertos para rede neural 63-72-7: [0,1] 8/21	[0,2] 8/21	[0,3] 10/21	[0,4] 8/21	[0,5] 2/21	[0,6] 3/21	[0,7] 1/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-73-7: [0,1] 5/21	[0,2] 11/21	[0,3] 11/21	[0,4] 8/21	[0,5] 3/21	[0,6] 1/21	[0,7] 0/21	[0,8] 4/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,2
Acertos para rede neural 63-74-7: [0,1] 8/21	[0,2] 8/21	[0,3] 8/21	[0,4] 11/21	[0,5] 3/21	[0,6] 4/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-75-7: [0,1] 7/21	[0,2] 6/21	[0,3] 5/21	[0,4] 10/21	[0,5] 13/21	[0,6] 0/21	[0,7] 1/21	[0,8] 1/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-76-7: [0,1] 8/21	[0,2] 10/21	[0,3] 6/21	[0,4] 10/21	[0,5] 18/21	[0,6] 0/21	[0,7] 3/21	[0,8] 0/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-77-7: [0,1] 9/21	[0,2] 5/21	[0,3] 11/21	[0,4] 9/21	[0,5] 8/21	[0,6] 0/21	[0,7] 2/21	[0,8] 0/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-78-7: [0,1] 8/21	[0,2] 6/21	[0,3] 13/21	[0,4] 12/21	[0,5] 1/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-79-7: [0,1] 9/21	[0,2] 8/21	[0,3] 10/21	[0,4] 13/21	[0,5] 0/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-80-7: [0,1] 9/21	[0,2] 8/21	[0,3] 13/21	[0,4] 8/21	[0,5] 1/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 2/21	Melhor taxa: 0,3
Acertos para rede neural 63-81-7: [0,1] 10/21	[0,2] 11/21	[0,3] 6/21	[0,4] 10/21	[0,5] 1/21	[0,6] 0/21	[0,7] 3/21	[0,8] 0/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,2
Acertos para rede neural 63-82-7: [0,1] 9/21	[0,2] 8/21	[0,3] 10/21	[0,4] 15/21	[0,5] 2/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-83-7: [0,1] 7/21	[0,2] 12/21	[0,3] 10/21	[0,4] 13/21	[0,5] 1/21	[0,6] 2/21	[0,7] 1/21	[0,8] 2/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-84-7: [0,1] 8/21	[0,2] 6/21	[0,3] 7/21	[0,4] 12/21	[0,5] 2/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-85-7: [0,1] 9/21	[0,2] 7/21	[0,3] 11/21	[0,4] 9/21	[0,5] 2/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-86-7: [0,1] 11/21	[0,2] 8/21	[0,3] 13/21	[0,4] 8/21	[0,5] 2/21	[0,6] 0/21	[0,7] 1/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-87-7: [0,1] 9/21	[0,2] 7/21	[0,3] 11/21	[0,4] 10/21	[0,5] 1/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 3/21	Melhor taxa: 0,3
Acertos para rede neural 63-88-7: [0,1] 10/21	[0,2] 14/21	[0,3] 9/21	[0,4] 10/21	[0,5] 6/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,2
Acertos para rede neural 63-89-7: [0,1] 9/21	[0,2] 7/21	[0,3] 12/21	[0,4] 9/21	[0,5] 2/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-90-7: [0,1] 5/21	[0,2] 7/21	[0,3] 7/21	[0,4] 12/21	[0,5] 2/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 1/21	[1,0] 1/21	Melhor taxa: 0,4
Acertos para rede neural 63-91-7: [0,1] 11/21	[0,2] 13/21	[0,3] 15/21	[0,4] 9/21	[0,5] 1/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
