testError, validateError
9.3407074167412, 9.406052046420356
9.434295201282056, 9.439526999743622
5.715922448504867, 9.438252910482207
8.779874358870067, 9.277502294738168
9.447828964536006, 9.393571393789069
9.433895448636294, 9.43900430430366
9.426306308729243, 9.433135889138951
9.326828963099763, 9.39560071085973
9.311046344863863, 9.435510388306922
9.354735670065624, 9.425899189449007
9.409410624170613, 8.926570106211871
9.425902029730798, 9.38958073323123
9.422325631867261, 5.107306649450217
1.4184841875951102, 8.891829425090778
9.264839201961756, 9.365949804312294
9.422009675036298, 9.2229654309817
9.339237580044886, 9.362677475376087
9.330748331152845, 5.111210918371277
9.418501244241897, 9.413497573643694
9.429238606962317, 9.197679893468834
9.41141120542432, 9.413035189313188
1.1455022094994451, 9.418748505800659
1.866732256165832, 9.407931972868553
9.279455576513724, 9.410403407466928
9.407607096827405, 9.405020570419964
9.352788710559674, 8.750645308010723
9.403739976891643, 5.108810412334563
8.548208992386456, 9.400722677215741
9.417409961427458, 9.349700981296298
0.9424035392476957, 9.347857433516962
8.31752197523658, 9.345823154343291
9.338594045127559, 9.356812859511065
9.379201744950018, 9.397635001394196
9.396206802279755, 9.394638760971066
9.249902090486652, 9.393156539015676
0.8462692517470992, 9.115260015273508
9.24449861043257, 9.348196877322465
9.39000143223897, 9.332226634464147
9.38949573207943, 9.384108192851743
9.28651426915149, 9.39347570217545
0.8502266384614641, 9.321114300215298
0.15341900148271598, 5.097808796070152
9.332514842357943, 9.380509312884667
8.186743093589092, 9.314886751070008
0.03265785038948566, 9.317507820748409
9.36961261008455, 9.383674680008083
0.13095341546908476, 8.494266610495673
0.6467297645447335, 5.088392016427449
9.30910167719802, 9.303188789940268
9.202956421831155, 8.44703708493378
9.367306811673648, 9.319632300811751
9.181460513215653, 9.359878298139462
9.189011580144728, 9.36083247876964
7.6742131860089335, 9.29395883322724
9.336692069675257, 9.35647946219028
9.347256819743842, 9.304361609160523
9.345900437509252, 5.076531390331555
9.344854799076698, 8.21317309018349
9.321660473523044, 9.294440746640563
9.33781046162887, 9.341806296596177
9.272770997827196, 8.113317598941018
9.256768749116114, 9.256586454871636
9.267247733972818, 9.33443583560877
0.06463638349245905, 9.250185292828007
4.876196811129185, 8.900900302418368
9.321774745287426, 9.325962430613242
9.240905445102706, 9.251442247666803
0.6652431858977601, 9.269221147274765
0.06820407935966878, 9.266414071910576
0.06513279001476445, 9.312001007324318
9.314322757429402, 9.227725613073359
9.15188061350443, 9.235801340444423
9.220640376607866, 9.232359027857884
9.23506223122896, 7.745350087665441
0.6970973708761161, 9.313887128254141
6.520123598650322, 7.673286066837841
9.289552978827635, 9.241655013332705
9.295646900055141, 5.027573804763779
9.292533803657596, 7.522236054094291
9.054482531439453, 9.289446679275317
0.02833504374657861, 9.227172901845531
9.140309783120356, 9.197369961292452
9.256252344014772, 7.2189411603255
4.5974088169595015, 5.013954166099622
9.260648154471427, 6.98500615922795
8.774768436317427, 9.278203004727914
0.494377543296633, 5.001429324882493
8.855141028256519, 9.252765641695417
9.25248103132285, 9.253283920619337
9.135314394848699, 6.2157127549004505
8.985710478705547, 4.98743086401337
9.23792907483787, 9.242253154383928
3.9894050924691236, 9.237745797763568
0.5938837114166504, 9.166109887020708
3.9066140789095276, 9.22123353797356
9.213877810160477, 9.223325558903843
8.912082647705367, 4.966267057813972
8.896123158281942, 9.2053560196198
8.882248755730181, 9.19961162685192
0.5774484805241059, 9.193536135295142
0.5913619411294148, 9.207486177351795
0.022257094690053204, 9.188347350376487
8.808431800944332, 8.212151965457668
9.15995917805318, 9.17085306098521
4.217981802397855, 9.177821390037707
9.147278841221839, 4.53157814609964
0.5723138907857009, 9.070389711065575
8.612848398768394, 9.121645854758514
9.092011650132749, 8.99792288063428
8.883272788857179, 4.915381415449394
8.854539533231438, 9.003345368045796
7.900142642040295, 8.979579457143824
8.954881613580332, 9.017565692705732
8.941963904347139, 8.966836459981096
8.874755128679714, 4.263516642988215
8.737200037335437, 8.753603893808743
7.75295789769735, 8.762769180288572
8.330541745867347, 8.54130524985254
8.279405830507674, 8.324048379789444
8.26793981216153, 8.303408434730528
8.290057499336056, 8.300822573981263
8.287940173736134, 8.298646730276094
8.039950089508302, 8.285190834151724
0.5382935656134328, 4.859621555731315
8.244408179558404, 8.271414579086699
0.1334202451903899, 3.986014315502053
6.628063568350116, 4.836218166636039
3.115344877326194, 8.243554928677623
8.187445519566301, 4.819161961315223
7.96025919074188, 4.304547324468622
0.13669159257393906, 8.151124537715603
8.089200541258036, 8.078151057926066
8.074103220738577, 3.511039183156057
7.732260042182107, 8.100606667909243
7.966087699704808, 7.9180238746402285
7.0024833910306095, 4.168862606541965
7.552296135935422, 7.737647248809834
7.392432109150143, 7.3956788496870915
2.7519243617212408, 7.426278962215209
7.436342107085976, 4.160119465156485
7.347266864896262, 7.4004654884721095
7.387573307827325, 7.3556281962284
4.196036049593261, 4.136794948587379
4.184903853513404, 7.352808135063713
2.489138464034478, 7.319306807142937
7.303848468047816, 7.3900757247842375
4.147834576136787, 7.24293016894997
7.315500774326402, 7.30967112225305
0.3261010277161189, 4.474766000848498
7.256482774535895, 4.456772947213353
0.3528331694085977, 4.440384694759558
7.220082017807805, 4.005803000992602
7.213287335185463, 7.262917233089235
7.1790203244900175, 7.229647944416968
6.3528222160388195, 7.171622749802639
7.0945653102387185, 7.1718763603928455
7.089061977236972, 7.135093628930976
6.783856408584493, 7.026298325956596
4.248680769072151, 3.3240565862100624
6.43397550868235, 2.1014860034094203
6.391295894789011, 6.453212297927378
6.375056303908933, 3.994667274212021
1.1364312218859969, 1.8582985717195517
3.1951416628261753, 3.901190967167456
